date,description,guests,state,location,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"FEB 18"," Los Angeles Organizing Event with Elizabeth Warren ",5117," CA","Alex Theatre, Glendale, CA",34.17051,-118.289463,1,place,,,Glendale,CA,"Los Angeles County",91201,US,"TIGER/Line® dataset from the US Census Bureau"
"FEB 17"," Las Vegas Organizing Event with Elizabeth Warren ",1657," NV","Springs Preserve, Las Vegas, NV",36.17372,-115.10647,1,place,,,"Las Vegas",NV,"Clark County",89101,US,"TIGER/Line® dataset from the US Census Bureau"
"FEB 16"," Lawrenceville Organizing Event with Elizabeth Warren ",2176," GA","Central Gwinnett High School, Lawrenceville, GA",33.929464,-84.103226,1,place,,,Lawrenceville,GA,"Gwinnett County",30042,US,"TIGER/Line® dataset from the US Census Bureau"
"FEB 16"," Greenville Organizing Event with Elizabeth Warren ",1573," SC","West End Community Development Center, Greenville, SC",34.848567,-82.402871,1,place,,,Greenville,SC,"Greenville County",29601,US,"TIGER/Line® dataset from the US Census Bureau"
"FEB 10"," Davenport Roundtable Discussion with Elizabeth Warren ",1515," IA","Mississippi Valley Fairgrounds, Davenport, IA",41.535297,-90.553552,1,street_center,,"Mississippi Ave",Davenport,IA,"Scott County",52803,US,"TIGER/Line® dataset from the US Census Bureau"
"FEB 10"," Iowa City Rally with Elizabeth Warren ",1999," IA","Iowa Memorial Union, Iowa City, IA",41.634209,-91.49905,1,place,,,"Iowa City",IA,"Johnson County",52240,US,"TIGER/Line® dataset from the US Census Bureau"
"FEB 10"," Cedar Rapids Organizing Event with Elizabeth Warren ",759," IA","Veterans Memorial Building & Commission, Cedar Rapids, IA",41.976612,-91.657578,1,place,,,"Cedar Rapids",IA,"Linn County",52401,US,"TIGER/Line® dataset from the US Census Bureau"
"FEB 9"," Dover Organizing Event with Elizabeth Warren ",1143," NH","City Hall - Dover NH, Dover, NH",43.190666,-70.887661,1,place,,,Dover,NH,"Strafford County",03820,US,"TIGER/Line® dataset from the US Census Bureau"
"FEB 9"," Announcement: Elizabeth Warren in Lawrence, MA ",3945," MA","Everett Mills, Lawrence, MA",42.695207,-71.169078,1,street_center,,"Everett St",Lawrence,MA,"Essex County",01843,US,"TIGER/Line® dataset from the US Census Bureau"
"FEB 9"," Team Warren Boston Bus to Lawrence, MA ",237," MA","Reggie Lewis Track and Athletic Center, Boston, MA",42.370567,-71.026964,1,place,,,Boston,MA,"Suffolk County",02101,US,"TIGER/Line® dataset from the US Census Bureau"
"FEB 9"," Team Warren Cambridge Bus to Lawrence, MA ",271," MA","Sanders Theatre at Harvard University, Cambridge, MA",42.380442,-71.132947,1,place,,,Cambridge,MA,"Middlesex County",02138,US,"TIGER/Line® dataset from the US Census Bureau"
"FEB 9"," Team Warren Framingham Bus to Lawrence, MA ",42," MA","1071 Worcester Rd, Framingham, MA",42.300069,-71.441959,1,rooftop,1071,"Worcester Rd",Framingham,MA,"Middlesex County",01701,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
"FEB 9"," Team Warren Worcester Bus to Lawrence, MA ",248," MA","15 Maywood St, Worcester, MA",42.249712,-71.824774,1,rooftop,15,"Maywood St",Worcester,MA,"Worcester County",01603,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
"FEB 9"," Team Warren Springfield Bus to Lawrence, MA ",132," MA","1000 Hall of Fame Ave, Springfield, MA",42.093796,-72.585228,1,rooftop,1000,"Hall Of Fame Ave",Springfield,MA,"Hampden County",01105,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
"FEB 9"," Team Warren Barnstable Bus to Lawrence, MA ",302," MA","Park & Ride-Barnstable, Barnstable, MA",41.697313,-70.301394,1,place,,,Barnstable,MA,"Barnstable County",02630,US,"TIGER/Line® dataset from the US Census Bureau"
"JAN 25"," Event Canceled: Las Vegas Organizing Event with Elizabeth Warren ",1295," NV","Springs Preserve, Las Vegas, NV",36.17372,-115.10647,1,place,,,"Las Vegas",NV,"Clark County",89101,US,"TIGER/Line® dataset from the US Census Bureau"
"JAN 23"," Columbia Organizing Event with Elizabeth Warren ",829," SC","Columbia College SC, Columbia, SC",34.041786,-81.027869,1,street_center,,"Columbia College Dr",Columbia,SC,"Richland County",29203,US,"TIGER/Line® dataset from the US Census Bureau"
"JAN 18"," Claremont Organizing Event with Elizabeth Warren ",388," NH","The Common Man - 16 Mill Road, Claremont, NH",43.37674,-72.34676,1,place,,,Claremont,NH,"Sullivan County",03743,US,"TIGER/Line® dataset from the US Census Bureau"
"JAN 12"," Manchester Organizing Event with Elizabeth Warren ",1252," NH","Manchester Community College, Manchester, NH",42.990048,-71.455429,0.6,street_center,,"Manchester St",Manchester,NH,"Hillsborough County",03103,US,"TIGER/Line® dataset from the US Census Bureau"
"JAN 5"," Des Moines Organizing Event with Elizabeth Warren ",3424," IA","322 E Court Ave, Des Moines, IA",41.587205,-93.61227,1,rooftop,322,"E Court Ave","Des Moines",IA,"Polk County",50309,US,Polk
"JAN 5"," Storm Lake Roundtable with Elizabeth Warren ",387," IA","110 E 3rd St, Storm Lake, IA",42.640789,-95.199733,1,range_interpolation,110,"E 3rd St","Storm Lake",IA,"Buena Vista County",50588,US,"TIGER/Line® dataset from the US Census Bureau"
"JAN 5"," Sioux City Organizing Event with Elizabeth Warren ",1321," IA","Orpheum Theatre, Sioux City, IA",42.494745,-96.399356,1,place,,,"Sioux City",IA,"Woodbury County",51101,US,"TIGER/Line® dataset from the US Census Bureau"
"JAN 4"," Council Bluffs Organizing Event with Elizabeth Warren ",2722," IA","The Gathering Room - 1900 Madison Avenue, Council Bluffs, IA",41.23238,-95.875086,1,place,,,"Council Bluffs",IA,"Pottawattamie County",51501,US,"TIGER/Line® dataset from the US Census Bureau"
"DEC 8"," Plymouth Town Hall with Elizabeth Warren ",603," MA","Plymouth North High School, Plymouth, MA",41.770031,-70.604587,1,street_center,,"Plymouth Ln","Buzzards Bay",MA,"Barnstable County",02532,US,"TIGER/Line® dataset from the US Census Bureau"
"NOV 6"," Election Night Watch Party with Elizabeth Warren & MassDems ",2497," MA","Fairmont Copley Plaza, Boston, MA",42.370567,-71.026964,1,place,,,Boston,MA,"Suffolk County",02101,US,"TIGER/Line® dataset from the US Census Bureau"
"NOV 5"," Hudson Election Eve Rally w/ Elizabeth, Ed Markey & Lori Trahan ",730," MA","Hudson Portuguese Club, Hudson, MA",42.376129,-71.56532,1,street_center,,"State Rte 85 Con",Hudson,MA,"Middlesex County",01749,US,"TIGER/Line® dataset from the US Census Bureau"
"NOV 5"," Lowell Get Out the Vote Canvass Kick-off with Elizabeth Warren ",231," MA","Lowell Coordinated Campaign Office - 175 Merrimack Street, Lowell, MA",42.617456,-71.286169,1,street_center,,"Lowell St",Lowell,MA,"Middlesex County",01852,US,"TIGER/Line® dataset from the US Census Bureau"
"NOV 5"," Lynn GOTV Canvass Kick-Off w/ Elizabeth Warren & Seth Moulton ",223," MA","Lynn Coordinated Campaign Office - 47 Myrtle Street, Lynn, MA",42.46314,-70.92679,0.5,street_center,,"Lynn Shore Dr",Lynn,MA,"Essex County",01902,US,"TIGER/Line® dataset from the US Census Bureau"
"NOV 4"," Worcester GOTV Canvass Kick-Off with Elizabeth Warren ",310," MA","Worcester Coordinated Campaign Office 198 Park Ave, Worcester, MA",42.265275,-71.879415,1,place,,,Worcester,MA,"Worcester County",01601,US,"TIGER/Line® dataset from the US Census Bureau"
"NOV 4"," Springfield GOTV Canvass Kick-Off with Elizabeth Warren ",382," MA","Springfield Coordinated Campaign Office - 54 Island Pond Road, Springfield, MA",42.132508,-72.600365,1,street_center,,"Springfield St",Springfield,MA,"Hampden County",01107,US,"TIGER/Line® dataset from the US Census Bureau"
"NOV 3"," New Bedford GOTV Canvass Kick-Off with Elizabeth Warren ",46," MA","Greater Southeastern Mass Labor Council - 560 Pleasant Street, New Bedford, MA",41.633416,-70.951045,1,place,,,"New Bedford",MA,"Bristol County",02740,US,"TIGER/Line® dataset from the US Census Bureau"
"NOV 3"," Brockton Get Out the Vote Canvass Kick-Off with Elizabeth Warren ",106," MA","Brockton Coordinated Campaign Office - 595 Belmont Street, Brockton, MA",42.079399,-71.03999,1,place,,,Brockton,MA,"Plymouth County",02301,US,"TIGER/Line® dataset from the US Census Bureau"
"OCT 30"," Team Warren Pre-Debate Rally in Needham ",966," MA","WCVB -TV Channel 5, Needham Heights, MA",42.294542,-71.232833,0.9,place,,,"Needham Heights",MA,"Norfolk County",02194,US,"TIGER/Line® dataset from the US Census Bureau"
"OCT 28"," Roxbury Early Vote Rally with Elizabeth Warren ",215," MA","195 Dudley St, Roxbury, MA",42.328297,-71.081671,1,rooftop,195,"Dudley St",Boston,MA,"Suffolk County",02119,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
"OCT 28"," Lawrence Early Vote Rally with Elizabeth Warren & Lori Trahan ",216," MA","225 Essex St, Lawrence, MA",42.707975,-71.159291,1,rooftop,225,"Essex St",Lawrence,MA,"Essex County",01840,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
"OCT 27"," Malden Early Vote Rally with Elizabeth Warren & Ed Markey ",179," MA","137 Pleasant St, Malden, MA",42.42734,-71.070923,1,rooftop,137,"Pleasant St",Malden,MA,"Middlesex County",02148,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
"OCT 25"," Worcester Early Vote Rally with Elizabeth Warren ",632," MA","Tilton Hall, Higgins University Center, Clark University, Worcester, MA",42.265275,-71.879415,1,place,,,Worcester,MA,"Worcester County",01601,US,"TIGER/Line® dataset from the US Census Bureau"
"OCT 22"," Early Vote Kick-Off Event with Elizabeth Warren ",390," UM","Cape Cod Lounge, UMass Amherst Student Union, Amherst, MA",42.367092,-72.464571,1,place,,,Amherst,MA,"Hampshire County",01002,US,"TIGER/Line® dataset from the US Census Bureau"
"OCT 21"," Team Warren Pre-Debate Rally in Springfield ",1550," MA","44 Hampden Street, Springfield, MA",42.103511,-72.59524,1,rooftop,44,"Hampden St",Springfield,MA,"Hampden County",01103,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
"OCT 19"," Team Warren Pre-Debate Rally ",1395," MA","WBZ Headquarters (parking lot), 1170 Soldiers Field Road, Allston, MA",42.35843,-71.12589,1,place,,,Allston,MA,"Suffolk County",02134,US,"TIGER/Line® dataset from the US Census Bureau"
"OCT 13"," Roxbury Town Hall with Elizabeth Warren ",2867," MA","Hibernian Hall, Boston, MA",42.370567,-71.026964,1,place,,,Boston,MA,"Suffolk County",02101,US,"TIGER/Line® dataset from the US Census Bureau"
