date,description,guests,state,location,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"MAR 18"," Center Line, Michigan Meet and Greet ",482," MI","Hometown Heroes Coffee and MoreCenter Line, MI",46.253837,-87.084589,0.18,place,,,Kiva,MI,"Alger County",49891,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 17"," Madison, Wisconsin Meet and Greet ",1094," WI","Cargo Coffee East, Madison, WI",43.06956,-89.423861,1,place,,,Madison,WI,"Dane County",53701,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 16"," Dubuque, Iowa House Party ",122," IA","410 Shrewsbury Ln, Dubuque, IA",42.468116,-90.754799,1,rooftop,410,"Shrewsbury Ln",Dubuque,IA,"Dubuque County",52003,US,Dubuque
"MAR 16"," Independence, Iowa Meet & Greet ",125," IA","Independence Public Library, Independence, IA",42.506055,-91.81214,1,place,,,Independence,IA,"Buchanan County",50644,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 16"," SD30 Canvass Kickoff ",72," IA","Black Hawk County Democrats, Waterloo, IA",42.488381,-92.327299,1,street_center,,"Black Hawk St",Waterloo,IA,"Black Hawk County",50702,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 15"," Political Party Live Podcast ",122," IA","1028 3rd St SE, Cedar Rapids, IA",41.971434,-91.658756,1,rooftop,1028,"3rd St SE","Cedar Rapids",IA,"Linn County",52401,US,Linn
"MAR 15"," Mount Vernon, Iowa Meet & Greet ",133,IA,"Mount Vernon, IA",41.939802,-91.450762,1,place,,,"Mount Vernon",IA,"Linn County",52314,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 15"," Washington, Iowa Meet & Greet ",77," IA","Art Domestique, Washington, IA",41.31663,-91.751808,1,place,,,Washington,IA,"Washington County",52353,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 15"," Mount Pleasant, Iowa Meet & Greet ",59," IA","120 S Main St, Mt Pleasant, IA",40.965682,-91.553185,1,range_interpolation,120,"S Main St","Mount Pleasant",IA,"Henry County",52641,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 14"," Muscatine, Iowa House Party ",130," IA","402 E 8th St, Muscatine, IA",41.427755,-91.047114,1,range_interpolation,402,"E 8th St",Muscatine,IA,"Muscatine County",52761,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 14"," Burlington, Iowa Meet & Greet ",52," IA","The Beancounter Coffeehouse & Drinkery, Burlington, IA",40.898412,-91.164393,1,place,,,Burlington,IA,"Des Moines County",52601,US,"TIGER/Line® dataset from the US Census Bureau"
